Source ID,Magnification,Lens Z,Source Z,Peak Apparent Magnitude
BELLSJ1601+2138,3,0.54,1.45,24.53535951
BELLSJ1221+3806,4,0.53,1.28,23.88827815
SDSSJ0143-1006,3,0.22,1.1,23.79342208
SDSSJ0157-0056,2,0.51,0.92,23.75397617
BELLSJ1542+1629,3,0.35,1.02,23.59060104
BELLSJ0830+5116,6,0.53,1.33,23.55096196
BELLSJ1318-0104,7,0.66,1.4,23.52128146
SDSSJ0330-0020,4,0.35,1.07,23.40678623
BELLSJ1159-0007,8,0.58,1.35,23.27868934
SDSSJ2309-0039,4,0.29,1,23.22508768
SDSSJ1103+5322,3,0.16,0.74,22.7318776
BELLSJ1349+3612,5,0.44,0.89,22.67029085
SDSSJ1416+5136,4,0.3,0.81,22.66059817
SDSSJ0903+4116,8,0.43,1.06,22.6289878
SDSSJ1436-0000,4,0.29,0.8,22.6274193
SDSSJ1251-0208,4,0.22,0.78,22.55984251
BELLSJ1337+3620,12,0.56,1.18,22.47691744
SDSSJ1525+3327,4,0.36,0.72,22.34662061
SDSSJ0109+1500,2,0.29,0.52,22.24092536
SDSSJ1031+3026,5,0.17,0.75,22.21300503
SDSSJ0754+1927,5,0.15,0.74,22.17725572
SDSSJ1048+1313,4,0.13,0.67,22.15551505
SDSSJ1432+6317,4,0.12,0.66,22.11566822
SDSSJ1607+2147,2,0.21,0.49,22.08601386
SDSSJ0159-0006,6,0.16,0.75,22.01505192
SDSSJ1112+0826,4,0.27,0.63,21.99259369
SWELLSJ1029+0420,4,0.1,0.62,21.95033254
SDSSJ0324-0110,4,0.45,0.62,21.95033254
SDSSJ1051+4439,3,0.16,0.54,21.89940097
SDSSJ1153+4612,10,0.18,0.88,21.88745318
SWELLSJ0841+3824,5,0.12,0.66,21.87339319
SDSSJ0757+1956,9,0.12,0.83,21.84532698
SDSSJ0216-0813,3,0.33,0.52,21.80069722
BELLSJ1631+1854,19,0.41,1.09,21.76480439
SDSSJ1056+4141,10,0.13,0.83,21.73093326
SDSSJ1630+4520,9,0.25,0.79,21.71338099
SDSSJ1142+1001,3,0.22,0.5,21.69838228
SDSSJ0252+0039,16,0.28,0.98,21.66571169
SDSSJ0324+0045,14,0.32,0.92,21.64123107
SDSSJ1250+0523,10,0.23,0.8,21.63256928
SDSSJ0851+0505,6,0.13,0.64,21.59399649
SDSSJ0037-0942,6,0.2,0.63,21.55236554
SDSSJ1100+5329,13,0.32,0.86,21.54105085
SDSSJ0935-0003,3,0.35,0.47,21.53752654
SDSSJ1553+3004,5,0.16,0.57,21.48659625
SDSSJ1636+4707,8,0.23,0.67,21.40294006
SDSSJ0959+0410,5,0.13,0.54,21.34477909
SDSSJ1430+4105,6,0.28,0.58,21.33436126
SDSSJ1213+6708,8,0.12,0.64,21.28164965
SDSSJ1101+1523,5,0.18,0.52,21.24607534
SDSSJ0728+3835,10,0.21,0.69,21.2386888
SDSSJ0955+3014,4,0.32,0.47,21.2251797
SDSSJ1550+2020,2,0.14,0.35,21.22142282
SDSSJ0822+2652,7,0.24,0.59,21.21197689
SDSSJ0936+0913,7,0.19,0.59,21.21197689
SDSSJ1020+1122,6,0.28,0.55,21.19490175
SDSSJ0405-0455,16,0.08,0.81,21.1554482
SDSSJ0029-0055,23,0.23,0.93,21.13121462
SDSSJ1543+2202,3,0.27,0.4,21.12166059
SDSSJ2238-0754,12,0.14,0.71,21.1166321
SDSSJ1204+0358,9,0.16,0.63,21.11213739
SDSSJ1621+3931,8,0.24,0.6,21.11126723
SDSSJ0753+3416,27,0.14,0.96,21.04227543
SDSSJ1010+3124,4,0.17,0.42,20.9346006
SDSSJ1541+3642,16,0.14,0.74,20.91438078
SDSSJ1016+3859,5,0.17,0.44,20.81221468
SDSSJ1143-0144,4,0.11,0.4,20.80931375
SDSSJ1538+5817,8,0.14,0.53,20.78556261
SDSSJ2303+1422,8,0.16,0.52,20.73577539
SDSSJ0959+4416,9,0.24,0.53,20.65768131
SDSSJ1301+0834,9,0.09,0.53,20.65768131
SDSSJ1032+5322,3,0.13,0.33,20.63231434
SDSSJ1330+1750,4,0.21,0.37,20.61009874
SDSSJ1142+2509,18,0.16,0.66,20.48263694
SDSSJ0956+5100,8,0.24,0.47,20.47260471
SDSSJ0737+3216,14,0.32,0.58,20.4144193
SDSSJ1451-0239,11,0.13,0.52,20.39001864
SDSSJ2321-0939,12,0.08,0.53,20.34533447
SDSSJ1443+0304,7,0.13,0.42,20.32700548
SDSSJ1420+6019,13,0.06,0.54,20.30734572
SDSSJ0946+1006,18,0.22,0.61,20.27439077
SDSSJ0955+0101,4,0.11,0.32,20.2423893
SDSSJ1040+3626,3,0.12,0.28,20.22033029
SDSSJ1137+1818,10,0.12,0.46,20.17458492
SDSSJ1633+1441,19,0.13,0.58,20.08285539
SDSSJ1213+2930,21,0.09,0.6,20.06344396
SDSSJ1205+4910,13,0.21,0.48,20.00012517
SDSSJ0920+3028,8,0.29,0.39,19.9919111
SDSSJ2300+0022,12,0.23,0.46,19.9766318
SDSSJ0847+2348,17,0.16,0.53,19.96716528
SDSSJ1433+2835,10,0.09,0.41,19.87781275
SDSSJ0044+0113,2,0.12,0.2,19.83370581
SDSSJ0912+0029,6,0.16,0.32,19.80216115
SDSSJ1127+2312,8,0.13,0.36,19.78780116
SDSSJ1627-0053,20,0.21,0.52,19.74092536
SDSSJ1144+0436,5,0.1,0.26,19.48167918
SDSSJ1041+0112,5,0.1,0.22,19.07084227
SDSSJ1106+5228,25,0.1,0.41,18.88296272